feature,family,point_in_time,n_unique
vman_author_email_ent,vman (version manifest),True,445
vman_classifiers_list_size,vman (version manifest),True,25
vman_description_content_type_len,vman (version manifest),True,5
vman_description_content_type_ent,vman (version manifest),True,6
vman_download_url_len,vman (version manifest),True,14
vman_download_url_ent,vman (version manifest),True,16
vman_home_page_len,vman (version manifest),True,62
vman_home_page_ent,vman (version manifest),True,298
vman_keywords_len,vman (version manifest),True,103
vman_keywords_ent,vman (version manifest),True,294
vman_maintainer_len,vman (version manifest),True,18
vman_maintainer_ent,vman (version manifest),True,26
vman_maintainer_email_len,vman (version manifest),True,31
vman_maintainer_email_ent,vman (version manifest),True,50
vman_package_url_len,vman (version manifest),True,44
vman_package_url_ent,vman (version manifest),True,584
vman_project_url_len,vman (version manifest),True,44
vman_project_url_ent,vman (version manifest),True,584
vman_release_url_len,vman (version manifest),True,47
vman_release_url_ent,vman (version manifest),True,622
vman_requires_python_len,vman (version manifest),True,19
vman_requires_python_ent,vman (version manifest),True,40
vman_summary_len,vman (version manifest),True,137
vman_summary_ent,vman (version manifest),True,719
vman_dynamic_list_size,vman (version manifest),True,15
vman_platform_len,vman (version manifest),True,7
vman_platform_ent,vman (version manifest),True,8
vman_project_urls_dict_size,vman (version manifest),True,11
vman_project_urls_nested,vman (version manifest),True,1
vman_requires_dist_list_size,vman (version manifest),True,36
vman_license_files_list_size,vman (version manifest),True,5
vman_provides_extra_list_size,vman (version manifest),True,14
vman_license_expression_len,vman (version manifest),True,8
vman_license_expression_ent,vman (version manifest),True,8
vman_readme_len,vman (version manifest),True,1
vman_readme_ent,vman (version manifest),True,1
vman_licenseText_len,vman (version manifest),True,2
vman_licenseText_ent,vman (version manifest),True,2
vman_auto_changelog_dict_size,vman (version manifest),True,2
vman_auto_changelog_nested,vman (version manifest),True,1
vman_files_list_size,vman (version manifest),True,1
vman_declaration_bool,vman (version manifest),True,2
vman_amdName_len,vman (version manifest),True,3
vman_amdName_ent,vman (version manifest),True,3
vman_netlifySiteId_len,vman (version manifest),True,2
vman_netlifySiteId_ent,vman (version manifest),True,2
vman_browserslist_list_size,vman (version manifest),True,3
vman_atlassian_dict_size,vman (version manifest),True,2
vman_atlassian_nested,vman (version manifest),True,2
vman_techstack_dict_size,vman (version manifest),True,3
vman_techstack_nested,vman (version manifest),True,2
vman_atlaskit_src_len,vman (version manifest),True,2
vman_atlaskit_src_ent,vman (version manifest),True,2
vman_module_es2019_len,vman (version manifest),True,2
vman_module_es2019_ent,vman (version manifest),True,2
vman_platform_feature_flags_dict_size,vman (version manifest),True,2
vman_platform_feature_flags_nested,vman (version manifest),True,2
vman_compassUnitTestMetricSourceId_len,vman (version manifest),True,2
vman_compassUnitTestMetricSourceId_ent,vman (version manifest),True,2
vman_calypso_src_len,vman (version manifest),True,2
vman_calypso_src_ent,vman (version manifest),True,2
vman_versionist_dict_size,vman (version manifest),True,2
vman_versionist_nested,vman (version manifest),True,1
vman_ava_dict_size,vman (version manifest),True,4
vman_ava_nested,vman (version manifest),True,2
vman_nx_dict_size,vman (version manifest),True,2
vman_nx_nested,vman (version manifest),True,2
vman_umd_main_len,vman (version manifest),True,3
vman_umd_main_ent,vman (version manifest),True,3
vman_babel_dict_size,vman (version manifest),True,1
vman_babel_nested,vman (version manifest),True,1
vman_clean_package_dict_size,vman (version manifest),True,2
vman_clean_package_nested,vman (version manifest),True,2
vman_scripty_dict_size,vman (version manifest),True,2
vman_scripty_nested,vman (version manifest),True,1
vman_jsnext_main_len,vman (version manifest),True,5
vman_jsnext_main_ent,vman (version manifest),True,5
vman_stratus_dict_size,vman (version manifest),True,2
vman_stratus_nested,vman (version manifest),True,1
vman_volta_dict_size,vman (version manifest),True,3
vman_volta_nested,vman (version manifest),True,1
vman_browserslist_len,vman (version manifest),True,2
vman_browserslist_ent,vman (version manifest),True,2
vman_test_main_len,vman (version manifest),True,2
vman_test_main_ent,vman (version manifest),True,2
vman_madge_dict_size,vman (version manifest),True,2
vman_madge_nested,vman (version manifest),True,2
vman_src_len,vman (version manifest),True,1
vman_src_ent,vman (version manifest),True,1
vman_preconstruct_dict_size,vman (version manifest),True,2
vman_preconstruct_nested,vman (version manifest),True,2
vman_link_len,vman (version manifest),True,2
vman_link_ent,vman (version manifest),True,2
vman_libraryTemplate_dict_size,vman (version manifest),True,2
vman_libraryTemplate_nested,vman (version manifest),True,1
vman_umd_len,vman (version manifest),True,2
vman_umd_ent,vman (version manifest),True,2
vman_pre_commit_list_size,vman (version manifest),True,2
vman_typeValidation_dict_size,vman (version manifest),True,2
vman_typeValidation_nested,vman (version manifest),True,2
vman_inlinedDependencies_dict_size,vman (version manifest),True,2
vman_inlinedDependencies_nested,vman (version manifest),True,1
vman_customElements_len,vman (version manifest),True,2
vman_customElements_ent,vman (version manifest),True,2
vman_registry_len,vman (version manifest),True,1
vman_registry_ent,vman (version manifest),True,1
vman_tshy_dict_size,vman (version manifest),True,3
vman_tshy_nested,vman (version manifest),True,2
vman_node_len,vman (version manifest),True,2
vman_node_ent,vman (version manifest),True,2
vman_clean_package_len,vman (version manifest),True,2
vman_clean_package_ent,vman (version manifest),True,2
vman_devEngines_dict_size,vman (version manifest),True,2
vman_devEngines_nested,vman (version manifest),True,2
vman_publish_dict_size,vman (version manifest),True,1
vman_publish_nested,vman (version manifest),True,1
vman_distSizeChecker_dict_size,vman (version manifest),True,2
vman_distSizeChecker_nested,vman (version manifest),True,1
vman_buildOptions_dict_size,vman (version manifest),True,2
vman_buildOptions_nested,vman (version manifest),True,2
vman_optionalDeps_dict_size,vman (version manifest),True,1
vman_optionalDeps_nested,vman (version manifest),True,1
vman_es2015_len,vman (version manifest),True,1
vman_es2015_ent,vman (version manifest),True,1
vman_automator_dict_size,vman (version manifest),True,2
vman_automator_nested,vman (version manifest),True,1
vman_lavamoat_dict_size,vman (version manifest),True,2
vman_lavamoat_nested,vman (version manifest),True,2
vman_msw_dict_size,vman (version manifest),True,2
vman_msw_nested,vman (version manifest),True,2
vman_rollup_dict_size,vman (version manifest),True,2
vman_rollup_nested,vman (version manifest),True,2
vman_scripts_info_dict_size,vman (version manifest),True,1
vman_scripts_info_nested,vman (version manifest),True,1
vman__progress_dict_size,vman (version manifest),True,2
vman__progress_nested,vman (version manifest),True,2
vman_schematics_len,vman (version manifest),True,2
vman_schematics_ent,vman (version manifest),True,2
vman_stableVersion_len,vman (version manifest),True,2
vman_stableVersion_ent,vman (version manifest),True,2
vman_minify_dict_size,vman (version manifest),True,2
vman_minify_nested,vman (version manifest),True,1
vman_scope_len,vman (version manifest),True,2
vman_scope_ent,vman (version manifest),True,2
vman_source_bool,vman (version manifest),True,2
vman_url_len,vman (version manifest),True,2
vman_url_ent,vman (version manifest),True,2
vman_sideEffects_len,vman (version manifest),True,2
vman_sideEffects_ent,vman (version manifest),True,2
vman_main_dev_len,vman (version manifest),True,2
vman_main_dev_ent,vman (version manifest),True,2
vman_wireit_dict_size,vman (version manifest),True,2
vman_wireit_nested,vman (version manifest),True,2
vman_main_h5_len,vman (version manifest),True,2
vman_main_h5_ent,vman (version manifest),True,2
vman_npmPublishAccess_len,vman (version manifest),True,2
vman_npmPublishAccess_ent,vman (version manifest),True,2
vman_typeScriptVersion_len,vman (version manifest),True,2
vman_typeScriptVersion_ent,vman (version manifest),True,2
vman_typesPublisherContentHash_len,vman (version manifest),True,2
vman_typesPublisherContentHash_ent,vman (version manifest),True,4
vman__shasum_len,vman (version manifest),True,1
vman__shasum_ent,vman (version manifest),True,1
vman_tags_list_size,vman (version manifest),True,1
vman_wix_dict_size,vman (version manifest),True,3
vman_wix_nested,vman (version manifest),True,2
vman_falconPackageHash_len,vman (version manifest),True,2
vman_falconPackageHash_ent,vman (version manifest),True,5
vman_wallaby_dict_size,vman (version manifest),True,2
vman_wallaby_nested,vman (version manifest),True,1
vman_wpScript_bool,vman (version manifest),True,2
vman_wpWorkers_dict_size,vman (version manifest),True,2
vman_wpWorkers_nested,vman (version manifest),True,2
vman_wpScriptModuleExports_dict_size,vman (version manifest),True,2
vman_wpScriptModuleExports_nested,vman (version manifest),True,1
vman_id_len,vman (version manifest),True,1
vman_id_ent,vman (version manifest),True,1
vman__engineSupported_bool,vman (version manifest),True,1
vman__defaultsLoaded_bool,vman (version manifest),True,1
vman_corifeus_dict_size,vman (version manifest),True,2
vman_corifeus_nested,vman (version manifest),True,1
vman__npmJsonOpts_dict_size,vman (version manifest),True,1
vman__npmJsonOpts_nested,vman (version manifest),True,1
vman_ci_dict_size,vman (version manifest),True,1
vman_ci_nested,vman (version manifest),True,1
vman_engine_dict_size,vman (version manifest),True,1
vman_engine_nested,vman (version manifest),True,1
vman___version_len,vman (version manifest),True,1
vman___version_ent,vman (version manifest),True,1
vman_depcheck_dict_size,vman (version manifest),True,2
vman_depcheck_nested,vman (version manifest),True,2
vman_license_dict_size,vman (version manifest),True,1
vman_license_nested,vman (version manifest),True,1
vman_component_dict_size,vman (version manifest),True,1
vman_component_nested,vman (version manifest),True,1
vman_template_dict_size,vman (version manifest),True,2
vman_template_nested,vman (version manifest),True,2
vman_snyk_bool,vman (version manifest),True,2
vman__nodeSupported_bool,vman (version manifest),True,1
vman_importSort_dict_size,vman (version manifest),True,2
vman_importSort_nested,vman (version manifest),True,2
vman_docs_url_len,vman (version manifest),True,7
vman_docs_url_ent,vman (version manifest),True,8
