feature,family,point_in_time,n_unique
vman_distSizeChecker_dict_size,vman (manifeste de la version),True,2
vman_distSizeChecker_nested,vman (manifeste de la version),True,1
vman_buildOptions_dict_size,vman (manifeste de la version),True,2
vman_buildOptions_nested,vman (manifeste de la version),True,2
vman_optionalDeps_dict_size,vman (manifeste de la version),True,2
vman_optionalDeps_nested,vman (manifeste de la version),True,1
vman_es2015_len,vman (manifeste de la version),True,2
vman_es2015_ent,vman (manifeste de la version),True,2
vman_automator_dict_size,vman (manifeste de la version),True,2
vman_automator_nested,vman (manifeste de la version),True,1
vman_lavamoat_dict_size,vman (manifeste de la version),True,2
vman_lavamoat_nested,vman (manifeste de la version),True,2
vman_msw_dict_size,vman (manifeste de la version),True,2
vman_msw_nested,vman (manifeste de la version),True,2
vman_rollup_dict_size,vman (manifeste de la version),True,2
vman_rollup_nested,vman (manifeste de la version),True,2
vman_scripts_info_dict_size,vman (manifeste de la version),True,2
vman_scripts_info_nested,vman (manifeste de la version),True,1
vman__progress_dict_size,vman (manifeste de la version),True,2
vman__progress_nested,vman (manifeste de la version),True,2
vman_schematics_len,vman (manifeste de la version),True,2
vman_schematics_ent,vman (manifeste de la version),True,2
vman_stableVersion_len,vman (manifeste de la version),True,2
vman_stableVersion_ent,vman (manifeste de la version),True,2
vman_minify_dict_size,vman (manifeste de la version),True,2
vman_minify_nested,vman (manifeste de la version),True,1
vman_scope_len,vman (manifeste de la version),True,2
vman_scope_ent,vman (manifeste de la version),True,2
vman_source_bool,vman (manifeste de la version),True,2
vman_url_len,vman (manifeste de la version),True,3
vman_url_ent,vman (manifeste de la version),True,3
vman_sideEffects_len,vman (manifeste de la version),True,2
vman_sideEffects_ent,vman (manifeste de la version),True,2
vman_main_dev_len,vman (manifeste de la version),True,2
vman_main_dev_ent,vman (manifeste de la version),True,2
vman_wireit_dict_size,vman (manifeste de la version),True,2
vman_wireit_nested,vman (manifeste de la version),True,2
vman_main_h5_len,vman (manifeste de la version),True,2
vman_main_h5_ent,vman (manifeste de la version),True,2
vman_npmPublishAccess_len,vman (manifeste de la version),True,2
vman_npmPublishAccess_ent,vman (manifeste de la version),True,2
vman_typeScriptVersion_len,vman (manifeste de la version),True,2
vman_typeScriptVersion_ent,vman (manifeste de la version),True,3
vman_typesPublisherContentHash_len,vman (manifeste de la version),True,2
vman_typesPublisherContentHash_ent,vman (manifeste de la version),True,17
vman__shasum_len,vman (manifeste de la version),True,2
vman__shasum_ent,vman (manifeste de la version),True,19
vman_tags_list_size,vman (manifeste de la version),True,2
vman_wix_dict_size,vman (manifeste de la version),True,3
vman_wix_nested,vman (manifeste de la version),True,2
vman_falconPackageHash_len,vman (manifeste de la version),True,2
vman_falconPackageHash_ent,vman (manifeste de la version),True,5
vman_wallaby_dict_size,vman (manifeste de la version),True,2
vman_wallaby_nested,vman (manifeste de la version),True,1
vman_wpScript_bool,vman (manifeste de la version),True,2
vman_wpWorkers_dict_size,vman (manifeste de la version),True,2
vman_wpWorkers_nested,vman (manifeste de la version),True,2
vman_wpScriptModuleExports_dict_size,vman (manifeste de la version),True,2
vman_wpScriptModuleExports_nested,vman (manifeste de la version),True,1
vman_id_len,vman (manifeste de la version),True,3
vman_id_ent,vman (manifeste de la version),True,3
vman__engineSupported_bool,vman (manifeste de la version),True,2
vman__defaultsLoaded_bool,vman (manifeste de la version),True,2
vman_corifeus_dict_size,vman (manifeste de la version),True,2
vman_corifeus_nested,vman (manifeste de la version),True,1
vman__npmJsonOpts_dict_size,vman (manifeste de la version),True,2
vman__npmJsonOpts_nested,vman (manifeste de la version),True,1
vman_ci_dict_size,vman (manifeste de la version),True,2
vman_ci_nested,vman (manifeste de la version),True,1
vman_engine_dict_size,vman (manifeste de la version),True,2
vman_engine_nested,vman (manifeste de la version),True,1
vman___version_len,vman (manifeste de la version),True,2
vman___version_ent,vman (manifeste de la version),True,2
vman_depcheck_dict_size,vman (manifeste de la version),True,2
vman_depcheck_nested,vman (manifeste de la version),True,2
vman_license_dict_size,vman (manifeste de la version),True,2
vman_license_nested,vman (manifeste de la version),True,1
vman_component_dict_size,vman (manifeste de la version),True,2
vman_component_nested,vman (manifeste de la version),True,2
vman_template_dict_size,vman (manifeste de la version),True,2
vman_template_nested,vman (manifeste de la version),True,2
vman_snyk_bool,vman (manifeste de la version),True,2
vman__nodeSupported_bool,vman (manifeste de la version),True,2
vman_importSort_dict_size,vman (manifeste de la version),True,2
vman_importSort_nested,vman (manifeste de la version),True,2
vman_docs_url_len,vman (manifeste de la version),True,7
vman_docs_url_ent,vman (manifeste de la version),True,10
